传统,人物,地域,时代,派别,A对自我,B对外界,合计,A占比,⚠️存疑,⚠️A,⚠️B,〔译〕,文件
伊斯兰与波斯,海亚姆（奥马尔·海亚姆）,波斯（内沙布尔）,11—12世纪,波斯诗人 / 数学家（鲁拜体裁）,28,28,56,0.5,0,0,0,56,伊斯兰与波斯/海亚姆/海亚姆.md
伊斯兰与波斯,鲁米,波斯（出生于巴尔赫，活动于科尼亚，今土耳其）,13世纪,苏非主义（玛斯纳维传统）,28,28,56,0.5,0,0,0,55,伊斯兰与波斯/鲁米/鲁米.md
印度哲学,释迦牟尼,印度,前6—前5世纪,佛教（创始人）,28,27,55,0.509,0,0,0,5,印度哲学/释迦牟尼/释迦牟尼.md
印度哲学,克里希那穆提,印度,20世纪,无派别（反权威、反组织）,28,28,56,0.5,0,0,0,56,印度哲学/克里希那穆提/克里希那穆提.md
印度哲学,商羯罗,印度,8世纪,吠檀多不二论（Advaita Vedānta）,28,28,56,0.5,0,0,0,52,印度哲学/商羯罗/商羯罗.md
印度哲学,龙树,印度,2—3世纪,中观派（创始人）,28,28,56,0.5,0,0,0,36,印度哲学/龙树/龙树.md
日本哲学,吉田兼好,日本,14世纪,日本随笔 / 隐遁者（兼好法师）,28,28,56,0.5,0,0,0,56,日本哲学/吉田兼好/吉田兼好.md
日本哲学,道元,日本,13世纪,日本曹洞宗（创始人）,28,28,56,0.5,0,0,0,0,日本哲学/道元/道元.md
西方哲学,爱比克泰德,古罗马（弗里吉亚出身，后于尼科波利斯讲学）,罗马帝国初期,斯多亚学派,34,30,64,0.531,0,0,0,62,西方哲学/爱比克泰德/爱比克泰德.md
西方哲学,克尔凯郭尔,丹麦,19世纪,存在主义先驱 / 基督教存在主义,38,34,72,0.528,0,0,0,72,西方哲学/克尔凯郭尔/克尔凯郭尔.md
西方哲学,叔本华,德国,19世纪,唯意志论 / 悲观主义,38,35,73,0.521,0,0,0,73,西方哲学/叔本华/叔本华.md
西方哲学,德谟克利特,古希腊（阿布德拉 Abdera）,前5世纪,原子论（与留基伯共创）,32,30,62,0.516,3,0,3,62,西方哲学/德谟克利特/德谟克利特.md
西方哲学,密尔,英国,19世纪,功利主义 / 自由主义,28,27,55,0.509,0,0,0,55,西方哲学/密尔/密尔.md
西方哲学,黑格尔,德国,18—19世纪,德国古典哲学 / 辩证法,28,27,55,0.509,0,0,0,55,西方哲学/黑格尔/黑格尔.md
西方哲学,苏格拉底,古希腊（雅典）,古典时期,无正式学派（「苏格拉底学派」诸分支均奉其为宗）,25,25,50,0.5,1,1,0,43,西方哲学/苏格拉底/苏格拉底.md
西方哲学,马可·奥勒留,古罗马,罗马帝国（五贤帝时期）,斯多亚学派（晚期斯多亚）,26,26,52,0.5,0,0,0,39,西方哲学/马可·奥勒留/马可·奥勒留.md
西方哲学,塞涅卡,古罗马（西班牙出身，活跃于罗马）,罗马帝国初期（朱里亚·克劳狄王朝）,斯多亚学派,28,28,56,0.5,0,0,0,56,西方哲学/塞涅卡/塞涅卡.md
西方哲学,奥古斯丁,北非（希波，今阿尔及利亚）,晚期罗马帝国／教父哲学,教父哲学（新柏拉图主义底色）,28,28,56,0.5,0,0,0,56,西方哲学/奥古斯丁/奥古斯丁.md
西方哲学,维特根斯坦,奥地利（后入英国籍）,20世纪,分析哲学,28,28,56,0.5,0,0,0,56,西方哲学/维特根斯坦/维特根斯坦.md
西方哲学,胡塞尔,德国（生于普罗斯尼茨，今捷克境内）,20世纪,现象学（创始人）,28,28,56,0.5,0,0,0,56,西方哲学/胡塞尔/胡塞尔.md
西方哲学,阿奎那,意大利（西西里诺切拉出身，活跃于巴黎、拿波里）,中世纪盛期（经院哲学）,经院哲学（托马斯主义）,28,28,56,0.5,0,0,0,56,西方哲学/阿奎那/阿奎那.md
西方哲学,雅斯贝尔斯,德国,20世纪,存在哲学（Existenzphilosophie）,28,28,56,0.5,0,0,0,56,西方哲学/雅斯贝尔斯/雅斯贝尔斯.md
西方哲学,马克思,德国,19世纪,马克思主义 / 历史唯物主义,28,28,56,0.5,0,0,0,56,西方哲学/马克思/马克思.md
西方哲学,康德,德国,18世纪,德国古典哲学 / 批判哲学,29,29,58,0.5,0,0,0,58,西方哲学/康德/康德.md
西方哲学,柏拉图,古希腊（雅典）,前5—前4世纪,学园派（Academy，创始人）,30,30,60,0.5,0,0,0,60,西方哲学/柏拉图/柏拉图.md
西方哲学,海德格尔,德国,20世纪,现象学 / 存在主义 / 存在思想（Seinsdenken）,30,30,60,0.5,0,0,0,60,西方哲学/海德格尔/海德格尔.md
西方哲学,加缪,法国（生于阿尔及利亚）,20世纪,荒诞哲学 / 文学存在主义,36,36,72,0.5,0,0,0,72,西方哲学/加缪/加缪.md
西方哲学,萨特,法国,20世纪,存在主义,36,36,72,0.5,0,0,0,72,西方哲学/萨特/萨特.md
西方哲学,帕斯卡,法国,17世纪,詹森主义（Jansenism）/ 信仰主义,41,42,83,0.494,8,4,4,83,西方哲学/帕斯卡/帕斯卡.md
西方哲学,笛卡尔,法国,17世纪（近代哲学开端）,唯理论（大陆理性主义）,30,32,62,0.484,0,0,0,54,西方哲学/笛卡尔/笛卡尔.md
西方哲学,亚里士多德,古希腊（斯塔吉拉 Stagira）,前4世纪,逍遥学派（Peripatetic，学园之后）,28,30,58,0.483,0,0,0,58,西方哲学/亚里士多德/亚里士多德.md
西方哲学,伊壁鸠鲁,古希腊（萨摩斯岛出生，创立于雅典）,前4—前3世纪,伊壁鸠鲁主义（Epicureanism）,28,30,58,0.483,0,0,0,58,西方哲学/伊壁鸠鲁/伊壁鸠鲁.md
西方哲学,斯宾诺莎,荷兰,17世纪,唯理论（理性主义）/ 泛神论,28,30,58,0.483,0,0,0,53,西方哲学/斯宾诺莎/斯宾诺莎.md
西方哲学,第欧根尼,古希腊（锡诺普 Sinope，活跃于雅典）,前4世纪,犬儒学派（Cynic）,28,30,58,0.483,0,0,0,58,西方哲学/第欧根尼/第欧根尼.md
西方哲学,莱布尼茨,德国,17—18世纪,唯理论（大陆理性主义）,28,30,58,0.483,1,0,1,56,西方哲学/莱布尼茨/莱布尼茨.md
西方哲学,罗素,英国,20世纪,分析哲学 / 逻辑原子论,30,33,63,0.476,1,0,1,61,西方哲学/罗素/罗素.md
西方哲学,休谟,英国（苏格兰）,18世纪,经验论（苏格兰启蒙）,27,30,57,0.474,0,0,0,57,西方哲学/休谟/休谟.md
西方哲学,洛克,英国,17世纪,经验论（英国经验主义）,26,30,56,0.464,0,0,0,56,西方哲学/洛克/洛克.md
西方哲学,尼采,德国,19世纪,生命哲学 / 虚无主义批判（无正式学派，影响存在主义与后现代主义）,24,28,52,0.462,3,0,3,35,西方哲学/尼采/尼采.md
西方哲学,波普尔,奥地利 / 英国,20世纪,批判理性主义,28,33,61,0.459,0,0,0,61,西方哲学/波普尔/波普尔.md
西方哲学,阿伦特,德国 / 美国,20世纪,政治哲学,28,34,62,0.452,0,0,0,62,西方哲学/阿伦特/阿伦特.md
西方哲学,福柯,法国,20世纪,后结构主义 / 思想史（知识考古学·权力谱系学）,28,37,65,0.431,0,0,0,65,西方哲学/福柯/福柯.md
西方哲学,赫拉克利特,古希腊（爱菲斯 Ephesus）,前6世纪,爱菲斯学派,20,38,58,0.345,3,0,3,58,西方哲学/赫拉克利特/赫拉克利特.md
西方哲学,巴门尼德,古希腊（埃利亚 Elea）,前6—前5世纪,埃利亚学派,11,45,56,0.196,0,0,0,56,西方哲学/巴门尼德/巴门尼德.md
