人物,传统,现标v1,对象域v2,语句
程颐,中国,A,符号,古之学者，优柔厌饫，有先后次序。今之学者，却只做一场话说，务高而已。——《遗书》卷十五
冯友兰,中国,A,自我,气质之性，可通过教养而改变。——《新理学》 〔意译〕
克里希那穆提,印度,B,同一,你就是世界，世界就是你。——。——《重新认识你自己》 #self-other〔译〕
道元,日本,A,自我,己之未度，先度众生，是菩萨之心。——《正法眼藏·発菩提心》
克尔凯郭尔,西方,B,他者,基督教世界，已使基督教本身变得廉价。——《致死的疾病》（Anti-Climacus）〔译〕
王弼,中国,A,世界,专气致柔，言任自然之气，致至柔之和。——《老子注·十章》
陆九渊,中国,A,自我,发明本心。——《语录》
赫拉克利特,西方,B,世界,雷霆驾驭万有。——〔译〕《残篇》DK B64（希波吕托斯转引）
克里希那穆提,印度,B,他者,我们的问题是全球性的，却用局部的方案应对。——《人生中不可不想的事》〔译〕
波普尔,西方,A,符号,知识增长的第一步，是承认自己的无知。——《客观知识》〔意译〕
熊十力,中国,B,世界,大化流衍，新新不已。——《体用论》 〔意译〕
冯友兰,中国,A,自我,人不一定应当是宗教底，但他一定应当是哲学底。——《中国哲学简史·绪论》
安萨里,伊斯兰波斯,B,世界,因果之间，真主是隐秘的联结者。——《哲学家的矛盾》〔译〕
黄宗羲,中国,A,自我,晚年定力，在忧患中炼出。——《南雷文定》 〔意译〕
墨子,中国,B,符号,夫辩者，将以明是非之分，审治乱之纪，明同异之处，察名实之理。——《墨子·小取》
阿奎那,西方,A,自我,人最深的平安，来自意志与神意之合一；凡顺之者，无真正之失。——《神学大全·I-II·q.69·a.1》〔译〕
黄宗羲,中国,B,自我,气节者，天下之大闲。——《南雷文定》 〔意译〕
孔子,中国,A,他者,三人行，必有我师焉。择其善者而从之，其不善者而改之。——《论语·述而》
爱比克泰德,西方,B,自我,多数人的痛苦，来自把「不在己」之事当作「在己」去追求。——《手册·1》〔意译〕
萨特,西方,A,自我,我的自由在每一次行动中自我确认。——《存在与虚无》〔意译〕
阿奎那,西方,A,自我,人藉德行培养自己；德性非天生，乃由习惯而成。——《神学大全·I-II·q.51·a.1》〔译〕
荀子,中国,B,他者,国将兴，必贵师而重傅。——《荀子·大略》
慧能,中国,B,自我,他非我不非，我非自有过。——《坛经·无相颂》（宗宝本） ⚠️
商鞅,中国,B,他者,民之见战也，如饿狼之见肉。——《商君书·画策》
塞涅卡,西方,A,自我,一个总在讨好众人的人，早已把主权重交了出去。——《论幸福生活·1》〔译〕
程颢,中国,B,自我,公则一，私则万殊。至当归一，精义无二。人心不同如面，只是私心。——《遗书》卷十一
释迦牟尼,印度,A,自我,莫从卑劣法，莫住于放逸，莫随邪见，莫增长爱欲。——《法句经·放逸品》
莱布尼茨,西方,B,世界,实体的多样性意味着无限多个不同的视角。——《单子论》第9节〔意译〕
程颢,中国,B,世界,冬寒夏暑，阴阳升降，此天地之自然，人岂能推移？——《遗书》卷十一
帕斯卡,西方,A,自我,人最无法忍受的，莫过于完全的静止与无所事事。——《思想录》L166〔意译〕
朱熹,中国,B,自我,天地以生物为心者也；而人物之生，又各得夫天地之心以为心者也。——《仁说》
惠施,中国,A,他者,惠施之口谈，自以为最贤。——《庄子·天下》
吉田兼好,日本,A,自我,临终一念，定平生所养。——《徒然草》〔译〕
陆九渊,中国,B,世界,理之所在，天下莫能夺。——《语录》
阿伦特,西方,A,自我,我写作不为说服谁，只为把混沌安放成秩序。——《过去与未来之间》〔意译〕
龙树,印度,A,自我,菩萨于诸法，不取相、不着相，是名正行般若。——《大智度论·卷十八》〔意译〕
洛克,西方,A,符号,我们对外物的知识，不如对自身心灵的知识确定。——《人类理解论》卷四·章三·节5〔意译〕
庄子,中国,B,世界,穷则反，终则始。——《庄子·则阳》
顾炎武,中国,A,他者,独学无友，则孤陋而难成。——《亭林文集·与人书》（为学）
海德格尔,西方,B,符号,形而上学把存在遗忘为存在者之存在。——《路标·形而上学的基本问题》〔意译〕
陆九渊,中国,B,自我,天地之性人为贵，人之所以贵于物者，以其有此理也。——《语录》
公孙龙,中国,B,符号,马固有色，故有白马。使马无色，有马如已耳，安取白马？故白者非马也。——《公孙龙子·白马论》
惠施,中国,A,符号,我知天下之中央，燕之北、越之南是也。——《庄子·天下》（历物十事之九） #self-other
冯友兰,中国,B,他者,社会是许多底人之结合，有 organisn 之意义。——《新事论》 〔意译〕
孟子,中国,A,自我,得志，与民由之；不得志，独行其道。——《孟子·滕文公下》
莱布尼茨,西方,B,世界,恶的存在并不否定最好的世界；恶是更大的善所允许的陪衬。——《神义论》〔意译〕
加缪,西方,A,自我,活着，并知道自己将死，是唯一清醒的姿态。——《西西弗神话》〔意译〕
莱布尼茨,西方,A,世界,每一个单子都以自己的方式表象整个宇宙。——《单子论》第22节〔意译〕
波普尔,西方,B,符号,不可能有一种方式说话而不被误解。——《猜想与反驳》〔译〕
荀子,中国,B,自我,水火有气而无生，草木有生而无知，禽兽有知而无义；人有气、有生、有知，亦且有义，故最为天下贵也。——《荀子·王制》
黑格尔,西方,A,自我,自我意识，只有在另一个自我意识里才获得它的满足。——《精神现象学·主奴辩证法》〔译〕
帕斯卡,西方,A,自我,人若不为自己的必死而警醒，他便在生活里沉睡。——《思想录》L164〔意译〕
李贽,中国,B,自我,夫所谓仙佛者，皆人也。——《焚书·答耿中丞》
安萨里,伊斯兰波斯,A,他者,苏非之道，始于离群，终于爱人。——《迷途指津》〔译〕
冯友兰,中国,B,他者,礼者，理也；乐者，和也。——《中国哲学简史》 〔意译〕
波普尔,西方,B,他者,乌托邦工程试图一次性重塑社会，往往带来灾难；渐进工程才是可行的。——《开放社会及其敌人》〔译〕
慧能,中国,B,自我,日用常行饶益，成道非由施钱。——《坛经·无相颂》（宗宝本） ⚠️
海德格尔,西方,B,世界,器具的有用性指向一个因缘整体，即世界。——《存在与时间》§15〔译〕
王阳明,中国,B,同一,大人者，以天地万物为一体者也。——《大学问》
柏拉图,西方,A,他者,即便被错待，也不可因此去错待人；行不义永远比受不义更坏。——〔译〕《克力同》48b—49a
斯宾诺莎,西方,A,自我,被动的情感若与清楚的观念结合，便不再是被动的。——《伦理学》第五部分·命题三附释〔意译〕
巴门尼德,西方,B,符号,真理之路断然宣称：是者存在；意见之路则徒然描画那不存在者的幻影。——〔译〕《论自然》残篇 DK B2（辛普里丘转引）
柏拉图,西方,A,他者,护卫者不应爱财；金与银于他们乃最大的腐蚀。——〔译〕《理想国》416e—417a
僧肇,中国,B,同一,《中观》云：物无彼此。——《不真空论》
荀子,中国,A,自我,学也者，固学一之也。——《荀子·劝学》
赫拉克利特,西方,A,世界,名为生命之弓，其功用却是死亡。——〔译〕《残篇》DK B48（克莱门《杂记》转引）
莱布尼茨,西方,A,符号,我们所有的观念中都包含着无限。——《单子论》第26节〔意译〕
陆九渊,中国,A,自我,学苟知本，六经皆我注脚。——《语录》（卷三十四）
商羯罗,印度,B,同一,二元对立（dvaita）是妄见，不二（advaita）是真实。——《梵经注·卷一》〔译〕
庄子,中国,B,世界,山木自寇也，膏火自煎也。桂可食，故伐之；漆可用，故割之。——《庄子·人间世》
程颐,中国,A,自我,敬以直内，义以方外，敬义立而德不孤。——《易传·坤卦》
波普尔,西方,A,自我,自我批判，是理性唯一的护身符。——《猜想与反驳》〔意译〕
程颐,中国,A,自我,凡人须以圣贤为己任。——《遗书》卷二十二上
笛卡尔,西方,B,世界,动物没有理性灵魂，它们是无理性的自动机。——《谈谈方法》第五部分〔意译〕
奥古斯丁,西方,B,世界,自然万物各按其时、各安其位；人的尊贵，在能认知并赞颂这秩序。——《上帝之城·11·?》〔译〕
顾炎武,中国,A,自我,律己严，而待人恕。——《日知录》 〔意译〕
王夫之,中国,B,符号,形也，神也，物也，三相遇而知觉乃发。——《张子正蒙注·太和篇》
孙子,中国,A,自我,知彼知己，胜乃不殆；知天知地，胜乃可全。——《孙子兵法·地形篇》 #self-other
墨子,中国,B,他者,有能则举之，无能则下之。——《墨子·尚贤上》
笛卡尔,西方,B,符号,我们必须把复杂问题分解为若干最简单的部分。——《谈谈方法》第二部分（方法规则二）
董仲舒,中国,A,自我,不仁而有勇力，则狂而操利兵也；不智而辩慧，则迷而乘良马也。——《春秋繁露·必仁且智》
王充,中国,A,自我,蓬生麻间，不扶自直；白纱入缁，不练自黑。——《论衡·率性》
韩非,中国,B,世界,上古之世，人民少而禽兽众，人民不胜禽兽虫蛇。——《韩非子·五蠹》
冯友兰,中国,A,自我,在功利境界中底人，其行为是为利底。——《新原人·第二章》
安萨里,伊斯兰波斯,A,自我,你当每日省察己身（muḥāsaba），如临清算。——《宗教学科的复兴·卷四》〔译〕
鲁米,伊斯兰波斯,A,自我,心若空，主便来居。——《玛斯纳维·卷五》〔译〕
龙树,印度,A,他者,众生痴惑，妄计有我；菩萨为说无我，令得出离。——《大智度论·卷三十六》〔意译〕
慧能,中国,B,自我,若悟无生顿法，见西方只在刹那。——《坛经》（敦煌本）
海亚姆,伊斯兰波斯,A,世界,星辰不答人的诘问，沉默是其答。——《鲁拜集》〔译〕
嵇康,中国,A,自我,含道独往，弃智遗身。——《兄秀才公穆入军赠诗》
萨特,西方,B,他者,物质匮乏使人彼此为敌，这是历史的根本张力。——《辩证理性批判》〔译〕
莱布尼茨,西方,B,世界,前定和谐：所有单子由上帝一次性协调，如两口对准的钟。——《单子论》第48—52节〔意译〕
尼采,西方,A,自我,人是应当被超越的：我教你们做超人。——《查拉图斯特拉如是说·序言》
奥古斯丁,西方,B,自我,自由意志之赐，是为使人能自愿归于善；无选择，便无功亦无过。——《论自由意志·3·3》〔译〕
墨子,中国,B,他者,尚贤者，政之本也。——《墨子·尚贤上》
韩非,中国,B,他者,上古竞于道德，中世逐于智谋，当今争于气力。——《韩非子·五蠹》
释迦牟尼,印度,B,世界,有因有缘世间集，有因有缘世间灭。——《杂阿含经·卷二》
商鞅,中国,B,他者,善为国者，仓廪虽满，不偷于农。——《商君书·农战》
王夫之,中国,A,自我,仁者，心之德也。——《读通鉴论》 〔意译〕
程颢,中国,A,自我,良知良能，皆无所由，乃出于天，不系于人。——《遗书》卷二上
叔本华,西方,B,符号,语言，是理性的工具，也是遮蔽真实的幕。——《作为意志和表象的世界》〔译〕
熊十力,中国,B,自我,中庸所谓中和，即本体之流行。——《读经示要·卷二》 〔意译〕
阿伦特,西方,A,自我,我接受自己的有限，正如我接受世界的有限。——《精神生活·思维》〔意译〕
冯友兰,中国,A,自我,人不满意于自然境界，而求进于较高境界，此即学底意义。——《新原人·第一章》
苏格拉底,西方,B,他者,我发现，名声最大的人，恰恰是最无知的人。——柏拉图《申辩篇》22a〔译〕
慧能,中国,B,自我,此法门是最上乘，为大智人说，为上根人说。——《坛经》（敦煌本）
公孙龙,中国,A,符号,故彼彼止于彼，此此止于此，可。——《公孙龙子·名实论》
王阳明,中国,B,同一,见孺子之入井，而必有怵惕恻隐之心焉，是其仁之与孺子而为一体也。——《大学问》
爱比克泰德,西方,A,自我,你想要平安吗？那就只欲求那由你决定的事，并对其他一切说「随它去」。——《手册·8》〔意译〕
德谟克利特,西方,B,符号,"所谓""机运""，乃人将未知之因归之于它。——〔译〕《残篇》DK B（斯托拜乌斯转引）"
爱比克泰德,西方,B,世界,人对自然所定的序毫无怨言；你若抱怨，只因你把自己置于自然之外。——《手册·23》〔意译〕
雅斯贝尔斯,西方,B,自我,科学的限度，在于它无法回答「人应当如何生活」。——《哲学》〔意译〕
孔子,中国,B,他者,道不同，不相为谋。——《论语·卫灵公》
克尔凯郭尔,西方,A,自我,若你不愿成为自己，你就永远只是个「他人」。——《日记》（Papirer）〔译〕
维特根斯坦,西方,A,符号,我能怀疑一切，却无法怀疑我正在怀疑。——《论确实性》〔意译〕
叔本华,西方,B,世界,自然不仁，以万物为意志的战场。——《作为意志和表象的世界》〔译〕
黄宗羲,中国,B,他者,公其非是于学校。——《明夷待访录·学校》
尼采,西方,A,自我,一个人必须学会爱自己——不是用病态的爱，而是用健康的爱。——《查拉图斯特拉如是说·论爱邻人》〔意译〕
张载,中国,B,世界,天之明莫大于日，故有目接之，不知其几万里之高也；天之不御莫大于太虚，故心知廓之，莫究其极也。——《正蒙·大心》
王阳明,中国,A,自我,立志用功，如种树然。——《传习录》上
萨特,西方,A,自我,自由不是属性，而是人的存在结构本身。——《存在与虚无》〔译〕
董仲舒,中国,B,他者,故《春秋》之于世事也，善复古，讥易常，欲其法先王也。——《春秋繁露·玉杯》
阿奎那,西方,A,自我,人的意志本性上指向幸福；它不能不欲求幸福，却可错认何者为幸福。——《神学大全·I-II·q.6·a.1》〔译〕
王充,中国,B,他者,韩子之术，不养德，而务法。——《论衡·非韩》
嵇康,中国,A,自我,清虚静泰，少私寡欲。——《养生论》
胡塞尔,西方,B,符号,意义是意向行为的成就，表达只是其外在化。——《纯粹现象学通论》〔意译〕
黑格尔,西方,B,他者,东方人只知一人（专制君主）自由，希腊罗马人知部分人自由，日耳曼世界知所有人自由。——《历史哲学讲演录》〔译〕
郭象,中国,B,世界,天者，自然之谓也。——《庄子注·大宗师》
董仲舒,中国,B,他者,阳为德，阴为刑；刑主杀而德主生。——《汉书·董仲舒传》（举贤良对策）
程颐,中国,B,他者,利者，义之和也；利物足以和义。——《易传·乾卦》
奥古斯丁,西方,A,自我,我的灵魂若不在你里面，便无处安放；我向外求索，你却一直守在门内。——《忏悔录·10·27》〔译〕
塞涅卡,西方,B,他者,朋友之道，在以德相砺；只图利益之交，利尽则散。——《论恩惠·6》〔译〕
塞涅卡,西方,B,自我,困难显出一个人的本色；没有风浪，无人知舵手之能。——《论天意·4》〔译〕
休谟,西方,A,自我,理性单独不能激发任何行动。——《人性论》卷二·章三〔意译〕
荀子,中国,B,符号,流丸止于瓯臾，流言止于知者。——《荀子·大略》
赫拉克利特,西方,B,他者,荷马若真懂，就当被希腊人逐出赛场、遭鞭笞。——〔译〕《残篇》DK B42（第欧根尼·拉尔修 IX.1 转引）
程颐,中国,A,自我,涵养须用敬，进学则在致知。——《遗书》卷十八
荀子,中国,B,世界,从天而颂之，孰与制天命而用之？——《荀子·天论》
阿奎那,西方,B,世界,必有第一因；无物是自因，故必有一切因果所依之因。——《神学大全·I·q.2·a.3》〔译〕
胡塞尔,西方,A,自我,先验还原是一场使自我回归自身的回转。——《纯粹现象学通论》§33〔译〕
商鞅,中国,B,他者,国强而不战，毒输于内；礼乐虱官生，必削。——《商君书·去强》
康德,西方,B,符号,知性，为自然立法。——《纯粹理性批判·先验分析论》〔译〕
休谟,西方,A,自我,我们称之为「自我」的，不过是知觉的剧场。——《人性论》卷一·部四·章六〔意译〕
爱比克泰德,西方,A,自我,你因外物而动心时，立刻抓住那表象，对它说：你只是表象，并非你所显得的那样。——《手册·1》〔意译〕
荀子,中国,A,自我,自知者不怨人，知命者不怨天。——《荀子·荣辱》
孙子,中国,B,他者,三军可夺气，将军可夺心。——《孙子兵法·军争篇》
荀子,中国,B,他者,以善先人者谓之教，以善和人者谓之顺。——《荀子·修身》
帕斯卡,西方,B,世界,宇宙中若没有思想，那广袤本身也毫无意义。——《思想录》L113〔意译〕#self-other
王弼,中国,A,世界,柔弱，生之徒；刚强，死之徒。——《老子注·七十六章》
海亚姆,伊斯兰波斯,A,世界,哲人争辩天道，酒徒但饮且歌。——《鲁拜集》〔译〕
阿奎那,西方,A,自我,完美的幸福，在于对神本质的直观；任何受造之物都不能使人真正满足。——《神学大全·I-II·q.3·a.8》〔译〕
加缪,西方,A,自我,我宁可要我确知的「无」，不要可疑的「永恒」。——《西西弗神话》〔意译〕
笛卡尔,西方,B,世界,天体的运动可以依据力学规律得到解释，而不必诉诸智慧实体的推动。——《哲学原理》第三部分·§45〔意译〕
马可·奥勒留,西方,A,自我,我有能力不做坏事；因此我不会被恶所强迫。——《沉思录》卷八·29〔意译〕
程颐,中国,A,自我,思曰睿，睿作圣；致思如掘井，初有浑水，久则清水出。——《遗书》卷十五
牟宗三,中国,B,他者,西方文化，是分解的尽理之精神。——《政道与治道》 〔意译〕
伊壁鸠鲁,西方,B,他者,每一段友谊本身都值得追求，尽管它常始于利益。——〔译〕《梵蒂冈格言集》VS 9
孔子,中国,A,自我,德之不修，学之不讲，闻义不能徙，不善不能改，是吾忧也。——《论语·述而》
第欧根尼,西方,B,他者,买马买驴尚且试了又试，选政客治理城邦却毫不检验。——〔译〕《名哲言行录》卷六·55
马可·奥勒留,西方,B,自我,财富与荣誉，在智者眼里，是「无花果树上结无花果」那样自然且无足轻重的东西。——《沉思录》卷六·50 前后〔意译〕
胡塞尔,西方,A,符号,哲学的唯一任务，是获得明见性（Evidenz）。——《现象学的观念》第一讲〔译〕
德谟克利特,西方,B,符号,真理深藏，只有不懈的探究方能略近。——〔译〕《残篇》〔⚠️ 义近归纳；据 DK B125 义，塞克斯都·恩披里柯转引〕
维特根斯坦,西方,A,符号,怀疑自身需要一种不疑的基础。——《论确实性》§115〔译〕
塞涅卡,西方,B,他者,仁慈优于严苛；统治者的力量，不在使人惧，而在使人服。——《论仁慈·1》〔译〕
苏格拉底,西方,B,自我,若一个人知道了什么是善，就必然会去做善事。——柏拉图《美诺篇》87d〔译〕※
张载,中国,A,自我,至当之谓德，百顺之谓福。——《正蒙·至当》
冯友兰,中国,A,自我,学哲学底目的，是使人作为人能够成为人，而不是使人成为某种人。——《中国哲学简史·绪论》
程颢,中国,A,自我,所谓定者，动亦定，静亦定，无将迎，无内外。——《定性书》（《遗书》卷二上）
董仲舒,中国,A,自我,正其谊不谋其利，明其道不计其功。——《汉书·董仲舒传》（举贤良对策）
王弼,中国,B,符号,夫象者，出意者也。言者，明象者也。——《周易略例·明象》
荀子,中国,A,自我,凡人之患，蔽于一曲而暗于大理。——《荀子·解蔽》
洛克,西方,B,符号,我们对物质实体的知识，远少于对心灵实体的知识。——《人类理解论》卷四·章三·节6〔意译〕
克里希那穆提,印度,B,符号,真理不需要信徒，它需要的是清醒的人。——《智慧的觉醒》〔译〕
康德,西方,B,他者,对他人的义务，始于「不对他人为恶」。——《道德形而上学·德性论》〔译〕
波普尔,西方,A,自我,责任，始于承认我的判断可能带来后果。——《开放社会及其敌人》〔意译〕
黑格尔,西方,B,世界,艺术美高于自然美，因为艺术美是精神的产品。——《美学讲演录》〔译〕
王夫之,中国,B,世界,天道不已，故生生不穷。——《思问录·内篇》 〔意译〕
公孙龙,中国,A,符号,其名正，则唯乎其彼此焉。——《公孙龙子·名实论》
爱比克泰德,西方,A,自我,真正的自由人，是不被任何外力所强迫、不因外物而焦虑的人。——《手册·2》〔意译〕
黄宗羲,中国,A,自我,学者须先立志。——《明儒学案》〔案语，意译〕
奥古斯丁,西方,A,自我,我迟到了爱你，美善永昔永新；你在我身内，我却在外追寻。——《忏悔录·10·27》〔译〕
亚里士多德,西方,B,他者,谁脱离城邦而自足，便非兽即神。——〔译〕《政治学》1253a
董仲舒,中国,B,他者,屈民而伸君，屈君而伸天，《春秋》之大义也。——《春秋繁露·玉杯》
莱布尼茨,西方,B,他者,上帝之城是所有心灵组成的、最完满的共同体。——《单子论》第85节〔意译〕
福柯,西方,B,他者,我们被训诫成「正常」，而正常本身是一种权力的裁决。——《规训与惩罚》〔意译〕
巴门尼德,西方,B,符号,"正义不容""非存在""越界混入""存在""。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）"
福柯,西方,A,自我,我对自己的唯一要求，是从不停止追问。——《知识考古学》〔意译〕
斯宾诺莎,西方,A,自我,人若被情感支配，便是被动的奴隶。——《伦理学》第四部分·命题三十二〔意译〕
康德,西方,A,自我,一切义务，最终都可归结为「自律」这一义务。——《道德形而上学》〔译〕
胡塞尔,西方,B,符号,哲学应当为一切科学提供意义的奠基。——《欧洲科学的危机与超越论的现象学》〔意译〕
陆九渊,中国,A,自我,自立自重，不可随人脚跟，学人言语。——《语录》（卷三十五）
叔本华,西方,A,自我,财富如海水：喝得越多，越觉口渴。——《附录与补遗·人生的智慧》〔译〕
罗素,西方,B,符号,哲学是介于神学与科学之间的东西。——《西方哲学史·序言》〔译〕
孟子,中国,B,他者,得天下有道：得其民，斯得天下矣。——《孟子·离娄上》
吉田兼好,日本,A,自我,心有所主，则外惑不能动。——《徒然草》〔译〕
德谟克利特,西方,A,自我,知足者，虽少而富。——〔译〕《残篇》DK B110（斯托拜乌斯转引）
老子,中国,A,自我,圣人自知不自见，自爱不自贵。——《道德经·第七十二章》
塞涅卡,西方,B,自我,多数人的不幸，来自把「不在己」之事当作「在己」去争夺。——《论生命之短暂·2》〔译〕
塞涅卡,西方,B,他者,社会的太平，来自人人各安其分、各守其约。——《论仁慈·1》〔译〕
莱布尼茨,西方,A,自我,灵魂中总在变化，每一种当下状态都孕育着下一步。——《单子论》第22节〔意译〕
第欧根尼,西方,B,他者,众人所敬者未必值得敬，众人所弃者未必可弃。——〔意译〕《名哲言行录》卷六（据其言论）
孟子,中国,B,自我,仁者无敌。——《孟子·梁惠王上》
第欧根尼,西方,A,自我,我嘲笑为虚名奔忙的人，因为他们忘了自己是谁。——〔意译〕《名哲言行录》卷六（据其嘲讽）
加缪,西方,B,自我,人创造了神，又用神来证明自己的顺从。——《反抗者》〔意译〕
王夫之,中国,A,自我,能兴即谓之豪杰。——《俟解》
阿伦特,西方,B,他者,极权统治的要害，是把整个社会的所有领域都纳入控制。——《极权主义的起源》〔译〕
孙子,中国,A,自我,知己知彼，百战不殆；不知彼而知己，一胜一负；不知彼不知己，每战必殆。——《孙子兵法·谋攻篇》 #self-other
笛卡尔,西方,B,他者,我们应当服从国家的法律与宗教。——《谈谈方法》第三部分（临时道德准则第一条）〔意译〕
黄宗羲,中国,B,他者,有明之无善治，自高皇帝罢丞相始也。——《明夷待访录·置相》
朱熹,中国,B,自我,所谓天理，复是何物？仁义礼智信是也。——《语类》卷十三
赫拉克利特,西方,B,世界,那唯一的、普遍的智慧，知道那驾驭万有的谋划。——〔译〕《残篇》DK B41（克莱门《杂记》转引）
马克思,西方,A,他者,对现存的一切进行无情的批判，主要是在批判的实践中。——《德意志意识形态》〔译〕
维特根斯坦,西方,A,符号,私人语言是不可能的：我不能拥有一种只有自己能懂的语言。——《哲学研究》§243〔译〕
道元,日本,B,自我,三世诸佛，在众生心中显现。——《正法眼藏·仏法》
韩非,中国,B,他者,智术之士，必远见而明察，不明察不能烛私。——《韩非子·孤愤》
阿伦特,西方,B,他者,权力属于群体，当它散去，权力也随之消失。——《论革命》〔译〕
李贽,中国,B,自我,圣人不责人之必能，是以人人皆可以为圣。——《焚书·答耿中丞》
爱比克泰德,西方,B,他者,当他人冒犯你，先想：他是否也受制于那不由他选择的判断？若是，他便值得怜悯而非愤怒。——《手册·18》〔意译〕
孟子,中国,A,自我,人有不为也，而后可以有为。——《孟子·离娄下》
公孙龙,中国,B,他者,暴则君臣争而两明也，两明者，昏不明，非正举也。——《公孙龙子·通变论》
赫拉克利特,西方,A,自我,最优秀的人，于万事后以荣誉为先。——〔译〕《残篇》DK B121（第欧根尼·拉尔修 IX.5 转引）
孙子,中国,B,他者,故杀敌者，怒也；取敌之利者，货也。——《孙子兵法·作战篇》
克里希那穆提,印度,B,他者,传统若不经检验，便是枷锁。——《克里希那穆提讲演录》〔译〕
墨子,中国,B,自我,强必富，不强必贫；强必饱，不强必饥。——《墨子·非命下》
郭象,中国,A,世界,夫唯无其知而任天下之自为，故驰万物而不穷。——《庄子注·在宥》
墨子,中国,A,自我,善无主于心者不留，行莫辩于身者不立。——《墨子·修身》
商鞅,中国,A,他者,故圣人明君者，非能尽其万物也，知万物之要也。——《商君书·农战》
韩非,中国,B,他者,明主之所导制其臣者，二柄而已矣。二柄者，刑德也。——《韩非子·二柄》
僧肇,中国,B,他者,故《成具》云：菩萨处计常之中，而演非常之教。——《物不迁论》
密尔,西方,A,自我,一个人的性格，若只是模仿他人，便失去做人一半的意义。——《论自由·第三章》〔译〕
僧肇,中国,A,自我,不疾而速，不行而至。——《般若无知论》
商羯罗,印度,A,自我,无明非实有、非全无，如翳病，治则自除。——《梵经注·卷二》〔译〕
第欧根尼,西方,A,自我,贫困是易于获得的德性；诸神把生活必需的廉价，人却以奢侈毁了。——〔译〕《名哲言行录》卷六·31
笛卡尔,西方,A,自我,我在怀疑，因此我可能错；但「我在思维」这一点，是绝对确定的。——《第一哲学沉思集》第二沉思〔意译〕
顾炎武,中国,A,自我,君子之学，死而后已。——《亭林文集》 〔意译〕
萨特,西方,B,他者,人创造制度，也可能被制度吞噬。——《辩证理性批判》〔意译〕
黑格尔,西方,A,自我,自我意识的真理，是它自己的确定性。——《精神现象学》〔译〕
慧能,中国,B,自我,色类自有道，离道别觅道；觅道不见道，到头还自恼。——《坛经·无相颂》（宗宝本） ⚠️
顾炎武,中国,B,他者,孰知今日之清谈，有甚于前代者。——《日知录·夫子之言性与天道》
柏拉图,西方,A,自我,灵魂若与身体同在，便被身体的需要与情感所扰，难以求得纯然的真实。——〔译〕《斐多》66c—67a
郭象,中国,B,世界,死生无异，故曰无所终穷。——《庄子注·知北游》
韩非,中国,A,自我,欲刚，必以柔守之；欲强，必以弱保之。——《韩非子·喻老》
